word,PoS,score
acabado,ADJ,-1
acabados,ADJ,-1
acabadota,ADJ,-1
acabadotas,ADJ,-1
acabadote,ADJ,-1
acabadotes,ADJ,-1
acabamento,ADJ,1
acabar,VB,0
acabar-se,VB,0
acabrunhada,ADJ,-1
acabrunhadas,ADJ,-1
acabrunhado,ADJ,-1
acabrunhados,ADJ,-1
acabrunhar,VB,0
acacalado,ADJ,1
acacapar,VB,1
acachar,VB,1
acaciana,ADJ,-1
acacianas,ADJ,-1
acaciano,ADJ,-1
acacianos,ADJ,-1
academica,ADJ,0
academicas,ADJ,0
academico,ADJ,0
academicos,ADJ,0
acafelar,VB,1
acaicarado,ADJ,-1
acaimar,VB,0
acalentar,VB,0
acalentar-se,VB,1
acalmar,VB,0
acalmar-se,VB,1
acalorada,ADJ,0
acaloradas,ADJ,0
acalorado,ADJ,0
acalorados,ADJ,0
acalorar,VB,1
acalorar-se,VB,1
acamar,VB,1
acambarcador,ADJ,-1
acambarcadora,ADJ,-1
acambarcadoras,ADJ,-1
acambarcadores,ADJ,-1
acambarcar,VB,0
acambetar,VB,0
acampanar,VB,0
acanalar,VB,0
acanalhar,VB,1
acanavear,VB,-1
acanelar,VB,0
acanhada,ADJ,-1
acanhadas,ADJ,-1
acanhado,ADJ,-1
acanhados,ADJ,-1
acanhar,VB,-1
acapelado,ADJ,1
acapelar,VB,0
acarar,VB,1
acarear,VB,1
acariciar,VB,0
acarinhada,ADJ,-1
acarinhadas,ADJ,-1
acarinhado,ADJ,-1
acarinhados,ADJ,-1
acarinhar,VB,1
acarminar,VB,0
acaroar,VB,0
acarpetar,VB,1
acarrancado,ADJ,-1
acarrar,VB,1
acarrear,VB,1
acarretar,VB,1
acasalar,VB,1
acastelar,VB,1
acatada,ADJ,1
acatadas,ADJ,1
acatado,ADJ,1
acatador,ADJ,0
acatadora,ADJ,0
acatadoras,ADJ,0
acatadores,ADJ,0
acatados,ADJ,1
acatar,VB,0
acatingado,ADJ,-1
acautelada,ADJ,0
acauteladas,ADJ,0
acautelado,ADJ,0
acautelados,ADJ,0
acautelar,VB,-1
acavalar,VB,1
accionada,ADJ,-1
accionadas,ADJ,-1
accionado,ADJ,-1
accionados,ADJ,-1
aceder,VB,1
acefala,ADJ,-1
acefalas,ADJ,-1
acefalo,ADJ,-1
acefalos,ADJ,-1
aceirar,VB,1
aceita,ADJ,1
aceitar,VB,1
aceitas,ADJ,1
aceitaveis,ADJ,1
aceitavel,ADJ,1
aceite,ADJ,0
aceites,ADJ,0
aceito,ADJ,1
aceitos,ADJ,1
acelerada,ADJ,0
aceleradas,ADJ,0
acelerado,ADJ,0
acelerados,ADJ,0
acelerar,VB,0
acenar,VB,1
acender,VB,0
acender-se,VB,1
acendrar,VB,0
acentuada,ADJ,0
acentuadas,ADJ,0
acentuado,ADJ,0
acentuados,ADJ,0
acentuar,VB,1
acerada,ADJ,-1
aceradas,ADJ,-1
acerado,ADJ,-1
acerados,ADJ,-1
acerar,VB,1
acerba,ADJ,-1
acerbas,ADJ,-1
acerbo,ADJ,-1
acerbos,ADJ,-1
acercar,VB,0
acercar-se,VB,0
aceroso,ADJ,1
acerrima,ADJ,-1
acerrimas,ADJ,-1
acerrimo,ADJ,-1
acerrimos,ADJ,-1
acertada,ADJ,1
acertadas,ADJ,1
acertado,ADJ,1
acertados,ADJ,1
acertar,VB,0
acesa,ADJ,0
acesas,ADJ,0
aceso,ADJ,1
acesos,ADJ,0
acessiveis,ADJ,1
acessivel,ADJ,1
acetico,ADJ,-1
achacada,ADJ,-1
achacadas,ADJ,-1
achacado,ADJ,-1
achacados,ADJ,-1
achada,ADJ,0
achadas,ADJ,0
achado,ADJ,0
achados,ADJ,0
achamboado,ADJ,-1
achambonado,ADJ,-1
achanar,VB,1
achar,VB,1
achar-se,VB,1
achatada,ADJ,-1
achatadas,ADJ,-1
achatado,ADJ,-1
achatados,ADJ,-1
achatar,VB,0
achavascado,ADJ,-1
achegada,ADJ,1
achegadas,ADJ,1
achegado,ADJ,1
achegados,ADJ,1
achegar,VB,0
achegar-se,VB,1
